"Subject Code","Course Number","Course Title","Course Description","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Cross Listed Courses","Co-Convened Courses","Dual-Listed Courses","Equivalent Courses","Notes","Course Typically Offered"
"GEOG","728","Programming for Geographic Analysis","Introduces programming languages, scripting methods, and/or free and open-source software (FOSS) and their use with geospatial technologies and spatial data. Explanations of programming concepts, demonstrations of techniques, and practical exercises that will enable students to develop their own programs and workflows for geoprocessing, spatial analysis, and map production. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"GEOG","833","Seminar in Sustainability Science, Thought and Approaches","Exploration of scientific, social, and philosophical aspects of sustainability, including concepts, approaches, and decision-making. Environmental, economic, and social considerations will be included. ","3","3","-","-","-","-","-","-","-","Fall"
"GEOL","520","Geomorphology","Classroom, laboratory, and field studies of landforms and surficial deposits, with an emphasis on earth-surface processes. Classroom lectures and discussions; laboratory exercises; and field investigations. ","3","3","-","-","-","-","-","-","Two hours recitation and three hours lab a week.","Fall"
"GEOL","738","Formation Evaluation","Investigates projects on well log interpretation, petro-physical calculations, log corrections, and post-drilling decision workflows through lectures, discussions, laboratory exercises, or field trips. ","3","3","-","-","-","-","-","-","-","Fall"
"GEOL","835","Advanced Petroleum Exploration, Imperial Barrel Award Competition","Evaluation of exploration prospects in frontier and underdeveloped petroleum provinces using borehole-derived and geophysical data. Team taught course that uses industry provided datasets and current data management and interpretation software to reach drill or no-drill decisions based on science, risk analysis, and economics.","3","3","-","-","-","-","-","-","-","On sufficient demand"
"GERON","779","Professional Seminar In Gerontology","Students apply and integrate knowledge gained in earlier courses and strengthen skills in ethical decisions-making through applications in gerontology-related areas such as advocacy, professionalism, family and workplace issues. Students from a variety of professions bring their unique perspective to bear on topics of common interest. ","3","3","-","-","-","-","-","-","-","Summer"
"GRMN","729","Open Topics Seminar in German Literature and Culture","Open Topics courses are designed for undergraduates and graduate students. Course addresses topics not confined to a single period in a national literature. Specific course content will vary by semester and instructor. It my emphasize cross-national subjects, literary or cultural criticism or theory, works of one or a pair of related authors, the development of a theme or genre over time, new perspectives from social, intellectual, or cultural studies, or non-traditional texts and topics. ","3","3","-","-","-","-","-","-","-","Other"
"GRSC","151","Principles of Milling Laboratory","A laboratory course to accompany Principles of Milling (GRSC 150). Laboratory exercises in grain and feed milling processes.","1","1","-","-","-","-","-","-","Three hours lab a week.","Fall, Spring"
"GRSC","313","Intro to Feed and Pet Food Processing Lab","This course provides students with hands-on experience in the fundamental processes used in feed and pet food manufacturing. Through laboratory exercises, students will explore key operations such as ingredient preparation, grinding, mixing, pelleting, canning, baking, freeze drying, extrusion, and packaging. Emphasis is placed on understanding equipment operation, safety protocols, and troubleshooting in a production setting. This applied learning approach reinforces theoretical knowledge from lecture-based courses and prepares students with the technical skills necessary for careers in the feed and pet food industry.","1","1","-","-","-","-","-","-","-","Fall-Odd Years"
"GRSC","501","Milling Science I Laboratory","A laboratory course to accompany Milling Science I (GRSC 500). Laboratory exercises in wheat flour milling with full-scale equipment including grain storage, blending, cleaning, conditioning plant, and a modern pneumatic flour mill, with instrumentation and automation. ","2","2","-","-","-","-","-","-","Six hours lab a week.","Spring"
"GRSC","503","Milling Science II Laboratory","The processes for milling other grains such as corn, oats, sorghum, different classes of wheat, and rye are studied in the laboratory and by practice on small scale milling units. Concepts of material handling properties of grain products and material handling equipment in dry milling operations will be presented. Concepts of statistical process control and spread sheet modeling in the decision making process will be introduced. ","2","2","-","-","-","-","-","-","Six hours lab a week.","Fall"
"GRSC","620","Extrusion Processing in the Food and Feed Industries","The course is designed to provide the student with an understanding of extrusion technology and the ability to apply it to product development and production through a """"hands-on'' approach. Major emphasis is on laboratory exercises in which students will operate pilot scale extrusion equipment to produce readily-recognizable commercial products such as cheese curls, breakfast cereals, pasta, pet food, etc.  Emphasis will also be placed on process and product development, analysis, and problem solving techniques. ","4","4","-","-","-","-","-","-","Three hours lecture plus one three-hour lab a week.","Fall"
"GRSC","636","Baking Science I Laboratory","A laboratory course to accompany Baking Science I (GRSC 635).  Laboratory exercises in theory and production of yeast-leavened baked products.","2","2","-","-","-","-","-","-","Six hours lab a week.","Fall"
"GWSS","105","Introduction to Gender, Women, and Sexuality Studies","An interdisciplinary analysis of personal experiences and social and political institutions as they shape and are shaped by the intersections of gender, race, class, sex, sexuality, ethnicity, nation, citizenship, and ability on local, national, and global levels. Topics include the roles of biology and social construction in shaping gender and sexuality, sources of structural inequities; and feminist, queer, trans, anti-racist, and anti-colonial activisms. ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"GWSS","275","Gender, Race, and Sex in Science Fiction","Explores the ways that gender, sex, sexuality, race, and class intersect in science fiction, including Afrofuturism, Asian futurism, Chicanafuturism, and Indigenous futurism. Examines how the ways that we imagine the future and the alien offer insight into contemporary concerns about gender, sexuality, race and racism, colonialism, imperialism, and justice.  ","3","3","-","-","-","-","-","-","-","Fall"
"HDFS","585","Professional Seminar in Human Development and Family Science","Seminar course for students completing the HDFS Internship. Consideration of professional roles and responsibilities of family science professionals, ethical decision-making, and career development. Focus on skills required in the delivery of human services with diverse groups.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"HDFS","825","Family Resource Management","Survey course of personal finance and family resource management literature to provide an overview of how individuals and family members develop and exercise their capacity to obtain and manage resources to meet life needs. Resources include the self, other people, time, money, energy, material assets, space, and environment. ","3","3","-","-","-","-","-","-","-","Summer"
"HHS","210","Foundations of Well-Being","Introduces key dimensions of well-being (e.g. physical, psychological, social, financial, and community). Students will explore personal strengths, assess behaviors and habits, set goals, and build practical skills to plan for lifelong well-being. Emphasis is placed on understanding influences on well-being and accessing resources for informed decision-making.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"HIST","102","Western Civilization II: Europe in the Modern World","Principal developments since the beginning of the eighteenth century. Scope includes the Enlightenment, the French Revolution, the Industrial Revolution, nationalism, imperialism, communism, fascism, the two world wars, the Holocause, and Europe during and after the Cold War. Chronological and topical emphases vary with individual sections. ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"HIST","106","Western Civilization/the Modern Era (Honors)","Principal developments in Western civilization from the beginning of the eighteenth century to the present. Scope includes the Enlightenment, the French Revolution, the Industrial Revolution, nationalism, imperialism, communism, fascism, and the two world wars, but chronological and topical emphases vary with individual sections. ","3","3","-","-","-","-","-","-","-","Other"
"HIST","251","History of Christianity to 1500AD","A basic introduction to how most academic historians approach the history of pre-modern Christianity. An explantion of how a secular approach, grounded in an epistemology of rational empiricism, differs from the approach, grounded in an epistemology of divine revelation, that most Christians have used – an approach known as “church history” or faith history. Ultimately, students will develop the tools to recognize and think critically about both types of history, so that when they encounter histories of Christianity in the future, they are prepared to understand each type.","3","3","-","-","-","-","-","-","-","Fall or Spring"
"HIST","585","Medieval Christianity","A survey of the development of Christianity in western Europe during the Middle Ages (c. 500-1500). Topics include the development of the papacy and the ecclesiastical hierarchy, the role of kings and other rulers, the Crusades, scholasticism, purgatory, penance, monasticism, specific religious orders like the Franciscans, baptism, marriage, asceticism, how medieval Christians read the Bible, saints, the roles of women, and heresy. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"HIST","810","Security Studies Methodology","An exploration of commonly used research methods in history and political science. Students will investigate quantitative and qualitative humanities and social sciences methodology through selected readings and limited research exercises.","2","2","-","-","-","-","-","-","-","Fall, Spring"
"HM","464","Revenue Management","Application of revenue management, capacity management, duration control, pricing, and discounting as utilized in the hotel, restaurant, theme park, and car rental industries. Comprehensive examination of the complex factors that influence revenue management strategies and tactics in order to improve decision making and maximize revenue.","3","3","-","-","-","-","-","-","-","Fall"
"HM","650","Senior Seminar in Hospitality Management","The application of critical thinking skills to explore hospitality management problems and perspectives. Decision-making tools will integrate marketing, human resources, diversity, ethics, leadership, team work, strategic management, and financial performance for food service, lodging, and event management. ","3","3","-","-","-","-","-","-","-","Spring"
"HM","662","Foodservice Systems Management","A capstone course in foodservice management that focuses on the management, analysis, and evaluation of food and beverage systems. Emphasis on planning, coordinating, and improving commercial and noncommercial operations. Development of analytical and decision-making skills for solving managerial and operational problems. ","3","3","-","-","-","-","-","-","-","Spring"
"HM","664","Advanced Hotel Operations","This senior-level course provides students the opportunity to utilize a strategic management process as a decision-making tool that integrates marketing, human resources, operations, and financial performance measures. This is a computer simulation class, where teams will compete with each other in real-time to understand and evaluate the market dynamics of a competitive set of hotels. ","3","3","-","-","-","-","-","-","-","Fall"
"HM","805","Advanced Foodservice Management","Production planning and controls in foodservice systems analysis in foodservice systems. Decision optimization and systems analysis in foodservice organizations. Consideration of various types of foodservice systems.","3","3","-","-","-","-","-","-","-","Fall-Odd Years"
"HORT","710","Plant Cell, Tissue and Organ Culture","Course will cover the principles and laboratory exercises that demonstrate major concepts and practical techniques in plant cell, tissue and organ culture. The history and use of plant cell-, tissue-, and organ-culture for crop improvement will be explained. The variety of tissue-culture techniques will be highlighted. Selected readings and practical tissue culture projects will be required. ","3","3","-","-","-","-","-","-","-","Spring"
"HORT","760","Business Management for Horticultural Enterprises","Focus is on developing a detailed business plan for the service, design and production businesses in horticulture that incorporates considerations of start-up capitalization, insurance, investments, legal accounting and employee compensation.  Strategic decision-making and aspects of a horticulture firms that are unique to its industries, such as product seasonality and perishability, will be discussed. ","3","3","-","-","-","-","-","-","Three hours lecture a week.","Fall"
"IAID","407","Design Workshop I","An introduction to the principles of furniture design, with special emphasis on material properties, fabrication methods, tectonics, and structural considerations of furniture design. The course also serves as an introduction to best-practice techniques for safely using the tools and equipment within the Fabrication Lab. Through a series of initial exercises students will develop a versatile foundation in woodworking and metalworking skills that will be applied to the design and fabrication of small-scale furniture projects.","4","4","-","-","-","-","-","-","-","Fall, Spring, Summer"
"IARC","300","Design & Material Culture","People's personal characteristics or social position can be expressed by the products they purchase, the possessions they own, and the physical environments they create. Design has become a major factor influencing one's final decision for purchasing these products. This course examines material culture which is created from the influences of human behavior, design, history, marketing, economics, politics, geography, the arts, and sociology. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"IARC","307","IARC Design Studio I","Introduction to the Interior Architecture design process. Generation of design concept and design alternatives for small-scale projects. Introduction to basic design theory, beginning design research, human scale, behavior, ergonomics and anthropometrics as they affect design decisions. Introduction of structure and environmental analysis as informants and determinants of design. Focus on multiple graphic representations and compositions, including diagramming, sketching, freehand drawing, and enhancing through digital means.","5","5","-","-","-","-","-","-","-","Fall"
"IARC","320","IARC Design Studio II","This studio introduces the principles of design, design terminology, and the values of a human centered design philosophy for the interior environment. Significant emphasis will be on the theoretical underpinnings of project ideation and development; and formal design processes and decision-making. Oral, graphic and visual communication skills and model making techniques will also be stressed to assist students in representing their design ideas. ","5","5","-","-","-","-","-","-","-","Fall, Spring, Summer"
"IDSN","410","Housing and Its Environment","Socioeconomic, political-legal, and consumer overview of housing. Includes individual, family, and public decisions related to residential alternatives, their acquisition, and housing and environmental standards.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"IHS","310","Foundations of Integrative Human Sciences","Examination of the Family and Consumer Sciences Body of Knowledge Framework and application to professional practice and ethical decision-making.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"IMSE","441","Introduction to Analytics","This course covers an introduction to analytics, which includes computer programming, statistics and mathematical decision making. Topics include: arrays, loops, data structures, data visualization, hypothesis testing, confidence intervals, multidimensional linear regression, distribution fitting, and identifying objectives and constraints to recommend data driven solutions. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"IMSE","530","Engineering Economic Analysis","The analysis of the economic aspects of engineering/industrial projects. Focus on decision making among competing alternatives, including replacement decisions. It includes: cost estimating, time-value of money and effects of depreciation and taxation. Methods of comparing alternatives are developed, including: equivalent worth, rate of return, break even analysis, and benefit-cost ratio. ","2","2","-","-","-","-","-","-","This course period lasts the first ten weeks of a semester.","Fall, Spring"
"IMSE","532","Industrial Project Evaluation","The analysis and selection of engineering/industrial projects. This course is a continuation of IMSE 530. Topics in addition to IMSE 530 includes: risk/uncertainty, impact of inflation, capital rationing, multiple criteria decision making, and determining the MARR. ","1","1","-","-","-","-","-","-","-","Fall, Spring"
"IMSE","680","Quantitative Problem Solving Techniques","Survey of decision making techniques. Topics covered include: linear, integer and nonlinear programming; network flows and stochastic processes. A focus of the course will include modeling and the use of software to solve these problems.","3","3","-","-","-","-","-","-","Three hours of lecture a week.","Summer"
"IMSE","710","Transportation Logistics","This course provides comprehensive coverage of logistics system design, analysis, and management, with a particular emphasis on freight transportation and supply chain systems. It introduces key challenges arising in supply chain systems, quantitative models for addressing these challenges, and methods for solving the models. Emphasis is placed on analyzing model results and communicating their implications for decision-making.","3","3","-","-","-","-","-","-","-","Spring-Odd Years"
"IMSE","730","Data Engineering I – Time Series & Topological Data Analysis","Introduction to theories and concepts of data analytic and machine learning on time series and topological data.  Data models and analysis systems include forecasting, predictive models, process change point detections, classification, clustering, stage-dependent decisions applying to high-dimensional time series data and topological data. Applications include data integration and data-to-decisions in real-world systems, such as supply chain, logistics, financial engineering, and advanced manufacturing processes. ","3","3","-","-","-","-","-","-","-","Spring"
"IMSE","751","Normative Theory of Decisions and Games","Bayes theorem, Bayesian estimators, utility, loss function and risk, minimax strategies, elementary game theory.","3","3","-","-","-","-","-","-","Three hours recitation a week.","Fall-Odd Years"
"IMSE","752","Multiple Criteria Decision Analysis","This course covers decision processes for problems involving multiple conflicting criteria, including individual and group decision making. Multiple approaches, including value function methods, goal/aspiration methods, and outranking methods, are considered.","3","3","-","-","-","-","-","-","-","Fall-Even Years"
"IMSE","805","Management of Research and Engineering","Engineering administration; organization factors in decision-making.","3","3","-","-","-","-","-","-","Three hours recitation a week.","On sufficient demand"
"IMSE","811","Advanced Production and Inventory Control","Analytical and mathematical methods of making decisions on production, inventories, human resources, and shipping in modern industrial plants. ","3","3","-","-","-","-","-","-","Three hours recitation a week.","Spring"
"IMSE","822","Advanced Engineering Economy","This course expands on the principles of the fundamental engineering economics analysis. Emphasis is placed on quantification and evaluation of risk and uncertainty factors, effects of inflation and taxes, economic consequences of estimating models, utility theory, engineering capital equipment replacement analysis and decision-tree and multi-attribute decision models.","3","3","-","-","-","-","-","-","Three hours lecture a week.","Fall-Odd Years"
"IMSE","991","Advanced Topics in Decision Theory","Decision processes for problems involving multiple conflicting criteria; multiple attribute decision making; multiple objective decision making, and group decision making under multiple criteria. Various methods/approaches for different problems are discussed.","3","3","-","-","-","-","-","-","We are concurrently introducing IMSE 752 so that the undergraduate student can take it. This 991 course will be for graduate students only.","On sufficient demand"
"INDD","435","INDD Design III","Advanced principles of the Industrial Design process. Explores different theories and techniques to develop products utilizing Human Centered Design, Design Thinking, and Universal Design. Holistic thinking in regard to ethical responsibility throughout the product's Life Cycle from decisions made in manufacturing processes, material choices and human factor design.  ","5","5","-","-","-","-","-","-","-","Fall"
"INDD","500","Materials and Manufacturing Processes","Seeks to provide an advanced understanding of materials and processes commonly used by Industrial Designers and manufacturers. The objective is to develop a more precise, professional and accurate approach to design while broadening the student's technical base. ","3","3","-","-","-","-","-","-","-","Spring"
"JAPAN","201","Japanese III","Continuation of Japanese II with emphasis on building and applying basic language knowledge in communicative tasks; exercises in oral interactions and interactions involving text; weekly language lab; approx. 1-- new kanji in text.","4","4","-","-","-","-","-","-","Not open to native speakers of Japanese.","Fall"
"KIN","100","Adaptive Physical Activites","Exercise programs adapted to the needs of the special student.","1","1","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","102","Topics in Aerobic Exercise","Discussion of topics and participation in activities of importance in aerobic exercise.","1","1","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","160","Aerobic Dancing and Exercise","Aerobic Dancing and Exercise","1","1","-","-","-","-","-","-","For students in the College of Health and Human Sciences, no more than 4 credit hours in lifetime sports and exercise activity classes may be applied toward a degree.","Other"
"KIN","335","Physiology of Exercise","The responses of the human body to exercise. Emphasis will be placed on understanding the structure-function relationships of the respiratory, cardiovascular, and muscular systems and how their function is integrated to support the dynamics of muscular contraction. Limitations to exercise performance will be examined in health and disease and the adaptability of the human body to physiological (i.e., exercise training) and environmental (e.g., hypoxia) stressors will be examined. ","4","4","-","-","-","-","-","-","Four hours lecture per week.","Fall, Spring"
"KIN","336","Physiology of Exercise Lab","A laboratory course to supplement the material of KIN 335.","1","1","-","-","-","-","-","-","Two hours of lab per week.","Fall"
"KIN","345","Exercise Behavioral Science","Examination of the social and behavioral determinants of physical activity using a social ecological framework. Social ecological levels include individual, interpersonal, community, institutional and societal/policy factors. ","5","5","-","-","-","-","-","-","-","Fall, Spring"
"KIN","380","Foundations of Exercise Training","This course introduces the foundational principles of exercise training and their scientific underpinnings. Topics include anatomy, biomechanics, physiology, nutrition, and psychology as they relate to training adaptations. Students will learn movement assessment, exercise techniques, and evaluation methods with an emphasis on safe and effective execution. Major training areas covered include resistance training adaptations, aerobic and anaerobic endurance, and muscular endurance. Practical labs require active participation and demonstration of proper training techniques.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","381","Exercise and Chronic Disease","Focus on the epidemic of chronic disease impacting society and the benefits/use of exercise as a therapy for selected diseases.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","383","Exercise and Older Adults","Examines the relationship between exercise and the aging process. Specific focus will be on the impacts of aging on the organ systems of the human body, the extent to which exercise may beneficially impact this process, and methodology for assessment of fitness and prescription of exercise in the older adult population ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","385","Fundamentals of Health and Fitness","Examine human behavior and exercise as the forefront of discussions about health. Examine relationship between health behavior, exercise, inactivity, and fitness adaptations.  ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","386","Pediatric Physical Activity, Exercise & Sport","Introduction to physiological and behavioral exercise considerations for a holistic approach to increasing activity levels effectively and safely in the pediatric population. Prepares students planning to work with healthy to obese 3-17 year olds in physical activity, exercise, and sport to encourage lifelong physical activity adherence and obesity reduction. ","3","3","-","-","-","-","-","-","-","Summer"
"KIN","480","Principles and Practice of Exercise Program Design","This course develops applied skills in designing, progressing, and evaluating exercise programs for diverse populations. Students will integrate scientific foundations and training methods into structured, evidence-based plans that address strength, power, endurance, and performance goals. Emphasis is placed on periodization models, progression strategies, and balancing training variables (intensity, volume, frequency). Students will practice writing, critiquing, and adapting programs to optimize performance outcomes and client success.","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"KIN","520","Practicum in Fitness Settings","Practical experiences in the fitness setting such as observation and participation in exercise testing and prescription, exercise leadership, and record keeping and program management. ","1","3","-","-","-","-","-","-"," Consent of School required","Fall, Spring, Summer"
"KIN","591","Psychology of Exercise and Sport Injury","Underlying effects, treatment of psychological consequences, and physical trauma of exercise and sport injury. Topics include the impact of injury on exercise behavior, the athlete at risk, behavioral risk factors, injury assessment, treatment of injury, and psychological factors addressed by the sports medicine team.","3","3","-","-","-","-","-","-","-","Summer"
"KIN","592","Sport and Exercise Personality","Intersession only The role of personality in sport, sport performance and exercise behavior. Theories relevant to sport and exercise peresonality will be examined to provide a theoretical framerwork for understanding and applying research. Assessment instruments and relevant research will be examined and critiqued.","3","3","-","-","-","-","-","-","-","Intersession"
"KIN","594","Sport and Exercise Psychology","This course is designed to introduce the student to the basic psychological principles related to sport and exercise behavior and performance. Factors that influence sport performance will be examined as will the principles related to exercise and exercise behavior.","3","3","-","-","-","-","-","-","-","S,U"
"KIN","601","Cardiorespiratory Physiology","An examination of the structure and function of the respiratory system and the manner in which oxygen passes from the atmosphere to its site of utilization in the mitochondria. Exercise, disease, and environmental stresses will form the basis for examining the capacity, plasticity, and limitations to respiratory function.","3","3","-","-","-","-","KIN701","-","-","Spring-Odd Years"
"KIN","607","Muscle Physiology","Subcellular, cellular, and tissue structure of skeletal muscle and the relationship of these structural characteristics to the functioning of the muscle. Examines energy pathways available to the muscle to support the various functions, and mechanisms underlying changes in exercise tolerance that accompany exercise training and detraining, aging, and diseases that affect skeletal muscle.","3","3","-","-","-","-","KIN707","-","-","Fall"
"KIN","611","Autonomic Neurophysiology","Study of the structure and function of the autonomic nervous system primarily as it pertains to physical stress. Particular emphasis is placed on the mechanisms evoking changes in the autonomic nervous system during physical stress including feed-forward and feedback autonomic control signals. The effects of disease and exercise training on those neural control signals are discussed","3","3","-","-","-","-","KIN711","-","-","Fall, Summer"
"KIN","617","Signaling Pathways in Physiology","Current concepts of biological signaling transduction and its role in controlling genes expression and protein synthesis involved in exercise adaptation, including resistance and endurance exercise, and disease states, including cardiovascular disease and cancer. This course seeks to fulfill the following
objectives: (1) To train students to understand the molecular and cellular signaling mechanisms associated with changes in skeletal and cardiac muscle mass, cardiac function, and endothelial function change in response to exercise and disease. (2) Foster an understanding of the correlation of
'macro-level' concepts like muscle hypertrophy to 'micro-level' concepts such as mTOR signaling with the goal of understanding the role cell signaling plays in mediating chronic adaptation. This course is recommended for pre-med students, pre-physical therapy students, biology and physiology majors, 80 and those interested in a career in health and human services. This course will cover concepts that are of emphasis of the MCAT exam.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"KIN","625","Exercise Testing and Prescription","Benefits and risks of exercise testing and prescription with healthy populations, individuals at risk, and patients with cardiovascular and metabolic diseases. Includes experiences with exercise test technology and methods of exercise prescription.","3","3","-","-","-","-","-","-","Note: CPR, and First Aid required, Two hours recitation and two hours lab a week.","Fall, Spring"
"KIN","635","Nutrition and Exercise","The interrelationships between diet, nutrition, and exercise. Topics covered include physical fitness, weight control, nutrient metabolism during exercise, and athletic performance. ","3","3","-","-","-","-","-","-","-","Fall"
"KIN","657","Integrative Human Pathophysiology","This course is designed to introduce the student to the mechanistic pathways of prominent chronic diseases (e.g., cardiovascular, respiratory, renal, cancer) and the mechanistic basis for current recommended treatments. This course will focus on the vertical integration of cardiovascular, renal, respiratory, and neural physiological pathways as they relate to pathogenesis, diagnosis, and treatment of these chronic diseases. A large emphasis will be placed on the cellular and molecular response, how they manifest in histological analysis and subsequent organ system dysfunction with the role of exercise therapy (example: cardiac/respiratory therapy) and pharmacology in mitigating these physiological changes.   ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"KIN","701","Cardiorespiratory Physiology","An examination of the structure and function of the respiratory system and the manner in which oxygen passes from the atmosphere to its site of utilization in the mitochondria. Exercise, disease, and environmental stresses will form the basis for examining the capacity, plasticity, and limitations to respiratory function.","3","3","-","-","-","-","KIN601","-","-","Spring"
"KIN","707","Muscle Physiology","Subcellular, cellular, and tissue structure of skeletal muscle and the relationship of these structural characteristics to the functioning of the muscle. Examines energy pathways available to the muscle to support the various functions, and mechanisms underlying changes in exercise tolerance that accompany exercise training and detraining, aging, and diseases that affect skeletal muscle.","3","3","-","-","-","-","KIN607","-","-","Fall, Spring, Summer"
"KIN","711","Autonomic Neurophysiology","Study of the structure and function of the autonomic nervous system primarily as it pertains to physical stress. Particular emphasis is placed on the mechanisms evoking changes in the autonomic nervous system during physical stress including feed-forward and feedback autonomic control signals. The effects of disease and exercise training on those neural control signals are discussed.","3","3","-","-","-","-","KIN611","-","-","Fall, Summer"
"KIN","796","Topics in Exercise Physiology","Selected topics in excercise physiology involving either greater in-depth study or application of theory presented in a related course.","3","3","-","-","-","-","-","-","Note: Consent of School","On sufficient demand"
"KIN","800","Advanced Physiology of Exercise","An in-depth study of the physiological responses of the human body during exercise, the adaptations that occur with exercise training, and the laboratory techniques to assess these responses and adaptations.","3","3","-","-","-","-","-","-","-","Fall"
"KIN","801","Physical Activity: Physiology to Public Health","This graduate seminar covers the study of physical activity and its impact on public health across levels of analysis from basic exercise physiology to social ecology.","3","3","-","-","-","-","-","-","-","Fall"
"KIN","805","Physical Activity and Human Behavior","An examination of the theory and research related to the psychological antecedents and outcomes of participation in physical activity and exercise. Topics include models of exercise motivation, social cognitive theory of exercise and social ecological models of physical activity. ","3","3","-","-","-","-","-","-","-","Fall"
"KIN","824","Physiology of Oxygen Transport","This course is designed to promote critical reading of the literature, particularly with respect to the understanding of exercise physiology and cardiorespiratory, vascular and muscle energetics responses.  Activities will include presenting papers, debate and discussion regarding all aspects of science and scientific philosophy.","3","3","-","-","-","-","-","-","-","Spring"
"KIN","825","Mechanical Analysis of Human Movement","Mechanical principles and analysis procedures for the study of overt human movement. Applications to movements in exercise, sport, occupational, and daily living activities will be emphasized. ","3","3","-","-","-","-","-","-","-","Spring"
"KIN","826","Advanced Cardiovascular Physiology","Discussion and critical examination of cardiovascular control mechanisms, with specific emphasis on regulation of blood pressure during severe challenges such as exercise, heat stress, and upright posture.","3","3","-","-","-","-","-","-","-","Fall"
"KIN","855","Exercise Psychology in Special Populations","A study of the psychological determinants and outcomes of exercise participation in special populations (e.g. arthritic, obese, cardiovascular disease). Emphasis in understanding the motive underlying involvement in exercise and physical activity and the situational and personal determinants associated with failure to initiate and/or adhere to exercise and physical activity programs. ","3","3","-","-","-","-","-","-","-","Fall"
"LEAD","212","Introduction to Leadership Concepts","This course is organized to provide students with a broad overview of leadership theories, an introduction to ethical decision making, identification of personal leadership styles, and current societal issues for leaders.","2","3","-","-","LEAD212 Intro Ldrshp Concept","-","-","-","-","Fall, Spring, Summer"
"LEAD","560","Experiences in Community-Engaged Leadership","In this capstone experience students design, plan, execute, and evaluate a community-engaged research project. The project will be consistent with the principles of community engagement and the purposes and process of democratic practice. Students will exercise leadership with community partners to build capacity for systemic change. ","6","6","-","-","-","-","-","-","-","Spring"
"MANGT","320","Leading in Business Organizations","Examines how executives and managers guide organizational success through strategic decision-making and organizational influence. Students explore business-focused theories, with emphasis on how executive-level decisions impact organizational performance. The course integrates established business theories with contemporary management practices.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"MANGT","366","Information Systems and Business Analytics","A comprehensive view of organizational information systems required for obtaining and transforming data into business analytics and intelligence. Cases and hands-on exercises emphasize information systems usage in data acquisition, analysis, and presentation leading to effective organizational decision-making.","3","3","-","-","-","-","-","-","Demonstrate competence in use of computer spreadsheets.","Fall, Spring, Summer"
"MANGT","491","International Management Experience","This course is designed to provide students with an opportunity to observe international business and management perspectives by participating in a field trip outside the United States. This experiential course may involve a combination of business visits, cultural experiences, internship activities, applied research projects, personal reflection exercises, or other learning activities while abroad.","3","3","-","-","-","-","-","-","-","On sufficient demand"
"MANGT","520","Organizational Behavior","An examination of human behavior in organizations to prepare individuals for their managerial careers. The course provides a framework for students to diagnose and manage issues associated with personality and individual differences, perceptions, motivation, diversity and inclusion, fairness and equity, decision making, group functioning, conflict management, culture, and leadership in organizations.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"MANGT","521","Managerial Decision Analytics","Managerial decision analytics uses descriptive, predictive, and prescriptive data analytics to improve organizational decision-making processes.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"MANGT","527","Sports Management Analytics","Provides knowledge and capabilities in analytics and artificial intelligence (AI) for the quantitative management of professional sports organizations. Explores topics in measurement and managerial assessment of athletic and team performance, strategic and tactical analyses in professional sports, and leveraging AI and data for optimized decision making in sports management.","3","3","-","-","-","-","-","-","MANGT 366 OR consent of department head","On sufficient demand"
"MANGT","566","Computer Systems for Finance and Investment Management","An integrated course examining the interrelationship between finance/investment management and information technology taught using a mixture of theory/concepts and hands-on activities. Topics include spreadsheet design and use in finance and investments, decision support systems and artificial intelligence used in risk analysis, financial database design, and information technologies used to transmit financial and investment information. ","3","3","-","-","-","-","-","-","-","On sufficient demand"
"MANGT","590","International Management","Analysis of the political, legal, economic, and sociocultural environments and how they influence international management decisions such as timing and place of foreign market entry, mode of entry, and formulations and implementation of international strategies. Students develop the knowledge and skills necessary for managing international operations including cross-cultural communication, negotiations, ethical decision making, leadership, staffing, and workforce motivation..","3","3","-","-","-","-","-","-","-","Fall, Spring"
